"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Dec-2023","EQ","124.00","125.55","123.25","123.20","123.70","123.70","124.13","131.75","44.35","2,75,12,604","3,41,51,94,738.70","1,33,273"
"28-Dec-2023","EQ","124.90","125.50","120.60","127.05","123.20","123.20","123.19","131.75","44.35","7,28,65,479","8,97,61,00,147.65","2,10,148"
"27-Dec-2023","EQ","125.70","127.60","125.55","125.00","126.85","127.05","126.64","131.75","44.35","2,17,57,560","2,75,54,01,886.25","77,925"
"26-Dec-2023","EQ","128.50","128.70","124.30","128.50","124.50","125.00","126.30","131.75","44.35","2,54,99,782","3,22,06,60,732.75","1,11,094"
"22-Dec-2023","EQ","130.55","131.00","125.30","127.35","127.90","128.50","128.74","131.75","44.35","6,31,13,800","8,12,51,01,537.65","1,87,775"
"21-Dec-2023","EQ","122.15","128.70","120.20","124.75","128.20","127.35","125.12","131.75","44.35","5,23,26,124","6,54,71,04,160.25","1,98,566"
"20-Dec-2023","EQ","130.35","131.00","123.15","130.25","124.70","124.75","127.12","131.75","44.35","4,90,06,056","6,22,98,31,025.45","1,78,995"
"19-Dec-2023","EQ","129.00","131.75","127.40","128.55","130.05","130.25","129.75","131.75","44.35","6,41,17,314","8,31,93,78,944.85","1,88,926"
"18-Dec-2023","EQ","123.40","129.20","121.55","123.60","129.00","128.55","126.86","129.20","44.35","8,95,53,155","11,36,11,46,553.40","2,94,353"
"15-Dec-2023","EQ","124.50","125.00","122.40","124.15","122.70","123.60","123.70","126.35","44.35","3,95,42,770","4,89,14,30,431.80","2,42,310"
"14-Dec-2023","EQ","121.00","124.95","120.50","120.00","124.20","124.15","123.60","126.35","44.35","7,41,78,495","9,16,80,96,218.85","2,26,862"
"13-Dec-2023","EQ","116.90","120.50","116.15","116.75","119.80","120.00","119.19","126.35","44.35","4,80,92,329","5,73,19,00,208.15","1,15,252"
"12-Dec-2023","EQ","119.00","119.30","114.15","118.45","116.80","116.75","117.10","126.35","44.35","4,08,00,538","4,77,77,33,821.00","1,39,070"
"11-Dec-2023","EQ","119.95","120.50","117.55","119.95","118.20","118.45","119.16","126.35","44.35","3,23,72,287","3,85,75,28,093.20","1,15,976"
"08-Dec-2023","EQ","123.00","123.90","119.30","121.70","120.15","119.95","121.33","126.35","44.35","4,42,13,196","5,36,43,09,593.70","1,32,835"
"07-Dec-2023","EQ","119.60","122.20","118.40","118.90","122.00","121.70","120.93","126.35","44.35","5,24,83,562","6,34,70,93,587.45","1,44,827"
"06-Dec-2023","EQ","117.15","119.70","116.60","116.75","119.15","118.90","117.80","126.35","44.35","4,81,71,753","5,67,45,26,366.25","1,05,148"
"05-Dec-2023","EQ","117.90","118.25","116.25","117.40","116.75","116.75","117.07","126.35","44.35","5,74,83,305","6,72,98,28,880.10","1,43,348"
"04-Dec-2023","EQ","118.75","119.00","116.25","116.30","117.70","117.40","117.08","126.35","44.35","6,60,57,180","7,73,42,75,961.95","1,59,886"
"01-Dec-2023","EQ","118.00","118.35","115.10","118.55","116.25","116.30","116.63","126.35","44.35","5,72,61,076","6,67,80,92,819.70","1,56,900"
"30-Nov-2023","EQ","118.80","120.70","116.15","116.60","117.80","118.55","118.44","126.35","44.35","22,52,08,168","26,67,32,88,047.30","3,24,255"
"29-Nov-2023","EQ","117.00","119.20","114.00","113.80","117.70","116.60","117.13","126.35","44.35","11,52,74,058","13,50,21,17,745.75","3,20,798"
"28-Nov-2023","EQ","114.90","116.90","113.50","113.25","113.80","113.80","114.78","126.35","44.35","6,19,63,724","7,11,21,14,151.75","1,69,089"
"24-Nov-2023","EQ","114.15","116.00","112.90","112.95","113.40","113.25","114.16","126.35","44.35","4,99,80,086","5,70,54,85,942.05","1,54,932"
"23-Nov-2023","EQ","113.60","115.75","112.50","115.30","112.80","112.95","113.73","126.35","44.35","5,63,29,090","6,40,61,05,817.60","1,57,065"
"22-Nov-2023","EQ","116.00","117.80","114.35","116.50","115.45","115.30","115.71","126.35","44.35","5,27,99,865","6,10,93,99,290.05","1,31,769"
"21-Nov-2023","EQ","118.55","119.00","116.05","118.15","116.40","116.50","117.26","126.35","44.35","4,51,93,553","5,29,91,82,461.50","1,46,971"
"20-Nov-2023","EQ","122.85","123.40","117.35","122.20","118.45","118.15","119.46","126.35","44.35","5,27,84,478","6,30,54,67,380.80","1,66,896"
"17-Nov-2023","EQ","122.00","125.00","121.50","121.85","122.70","122.20","123.22","126.35","44.35","4,38,82,213","5,40,71,11,366.95","1,36,049"
"16-Nov-2023","EQ","120.90","122.55","120.70","120.25","122.00","121.85","121.86","126.35","44.35","3,68,95,083","4,49,58,91,657.05","1,09,544"
"15-Nov-2023","EQ","123.30","125.20","119.75","122.20","120.90","120.25","122.48","126.35","44.35","6,00,88,818","7,35,94,89,021.95","2,16,876"
"13-Nov-2023","EQ","122.65","123.10","121.50","123.25","122.25","122.20","122.21","126.35","44.35","2,83,48,143","3,46,43,99,570.10","1,53,866"
"12-Nov-2023","EQ","123.25","123.95","122.00","121.30","123.25","123.25","123.22","126.35","44.35","1,05,34,365","1,29,79,94,614.40","68,159"
"10-Nov-2023","EQ","122.00","123.30","120.70","121.85","121.45","121.30","121.61","126.35","44.35","4,33,88,163","5,27,63,36,879.95","1,23,196"
"09-Nov-2023","EQ","125.25","125.55","121.35","125.15","122.00","121.85","123.31","126.35","44.35","5,03,07,832","6,20,36,68,345.25","1,95,778"
"08-Nov-2023","EQ","122.00","125.70","121.30","121.30","125.15","125.15","124.04","126.35","44.35","7,50,41,688","9,30,79,88,630.35","2,03,979"
"07-Nov-2023","EQ","123.55","126.35","120.50","123.30","122.00","121.30","123.16","126.35","44.35","12,08,86,007","14,88,81,39,202.70","2,89,292"
"06-Nov-2023","EQ","119.60","123.90","118.25","116.50","123.45","123.30","120.87","123.90","44.35","18,62,88,904","22,51,59,63,136.35","5,05,091"
"03-Nov-2023","EQ","108.80","119.90","108.70","107.55","117.90","116.50","114.09","119.90","44.35","23,88,33,377","27,24,89,41,076.35","3,99,350"
"02-Nov-2023","EQ","105.00","108.00","104.90","103.70","107.95","107.55","106.53","115.10","44.35","4,70,86,204","5,01,61,87,002.65","1,12,689"
"01-Nov-2023","EQ","105.60","107.15","103.25","105.10","104.00","103.70","105.18","115.10","44.35","4,79,11,258","5,03,95,41,539.75","1,08,637"
"31-Oct-2023","EQ","107.85","108.15","104.25","107.70","104.75","105.10","106.00","115.10","44.35","4,93,82,539","5,23,47,09,226.80","1,09,571"
"30-Oct-2023","EQ","106.20","108.60","105.70","105.65","107.50","107.70","107.19","115.10","44.35","4,82,82,252","5,17,52,67,814.70","1,10,651"
"27-Oct-2023","EQ","107.35","109.25","105.05","106.45","105.45","105.65","106.95","115.10","44.35","4,37,38,547","4,67,78,53,360.55","1,41,164"
"26-Oct-2023","EQ","107.50","108.00","101.25","108.25","106.35","106.45","104.19","115.10","44.35","10,86,05,538","11,31,52,86,908.10","2,76,322"
"25-Oct-2023","EQ","105.65","109.50","105.55","108.90","108.45","108.25","107.55","115.10","44.35","5,96,85,089","6,41,92,42,795.60","1,64,172"
"23-Oct-2023","EQ","113.80","113.90","106.80","113.35","109.25","108.90","110.79","115.10","44.35","7,09,44,550","7,85,98,38,173.70","1,36,203"
"20-Oct-2023","EQ","114.00","114.50","112.15","111.65","113.70","113.35","112.96","115.10","44.35","6,44,27,436","7,27,79,89,527.10","1,83,110"
"19-Oct-2023","EQ","112.00","113.15","110.65","113.20","111.40","111.65","112.25","115.10","44.35","4,35,17,012","4,88,49,41,891.10","1,36,297"
"18-Oct-2023","EQ","114.50","115.10","109.50","113.85","112.40","113.20","112.13","115.10","44.35","10,05,53,806","11,27,51,49,423.15","2,08,357"
"17-Oct-2023","EQ","112.50","114.20","111.50","111.50","113.60","113.85","112.96","114.20","44.35","5,53,51,894","6,25,24,84,358.55","1,26,051"
"16-Oct-2023","EQ","111.90","112.75","110.85","111.00","111.50","111.50","111.74","113.25","44.35","4,74,55,521","5,30,27,76,089.15","1,30,337"
"13-Oct-2023","EQ","109.85","111.80","109.10","109.85","111.20","111.00","110.95","113.25","44.35","5,57,86,063","6,18,95,79,189.05","1,75,996"
"12-Oct-2023","EQ","110.20","113.25","109.50","109.00","109.95","109.85","111.52","113.25","44.35","11,77,10,894","13,12,74,89,977.15","3,04,193"
"11-Oct-2023","EQ","106.80","109.80","106.55","106.05","109.70","109.00","108.40","109.80","44.35","9,38,38,782","10,17,19,34,058.95","2,27,474"
"10-Oct-2023","EQ","104.90","107.95","104.65","103.90","105.90","106.05","106.34","107.95","44.35","6,77,12,329","7,20,06,28,462.80","1,69,601"
"09-Oct-2023","EQ","103.80","105.25","101.00","104.45","103.70","103.90","103.51","107.70","44.35","5,38,11,658","5,57,01,74,181.25","1,52,774"
"06-Oct-2023","EQ","106.40","107.20","104.00","105.40","104.65","104.45","105.56","107.70","44.35","6,50,41,435","6,86,57,28,950.90","1,50,559"
"05-Oct-2023","EQ","102.60","107.70","102.35","100.75","105.85","105.40","105.02","107.70","44.35","14,00,96,809","14,71,25,61,171.40","2,94,089"
"04-Oct-2023","EQ","104.40","104.40","100.35","105.30","101.25","100.75","101.89","105.90","44.35","6,87,27,969","7,00,25,05,243.10","1,96,898"
"03-Oct-2023","EQ","101.00","105.90","100.00","101.50","105.70","105.30","103.84","105.90","44.35","8,29,83,688","8,61,71,82,237.70","1,68,882"
"29-Sep-2023","EQ","100.05","102.75","99.60","99.95","101.50","101.50","101.48","105.00","44.35","4,95,24,816","5,02,59,71,430.45","1,12,785"
"28-Sep-2023","EQ","100.35","100.60","99.30","100.10","100.00","99.95","99.85","105.00","44.35","2,58,85,383","2,58,46,31,782.15","72,762"
"27-Sep-2023","EQ","99.90","101.20","98.50","99.90","99.85","100.10","99.75","105.00","44.35","3,48,94,254","3,48,07,56,004.00","77,986"
"26-Sep-2023","EQ","98.60","100.40","97.90","98.45","100.00","99.90","99.66","105.00","44.35","3,68,22,528","3,66,98,44,612.10","81,138"
"25-Sep-2023","EQ","100.30","100.50","97.75","99.90","98.60","98.45","98.78","105.00","44.35","3,44,10,972","3,39,91,66,117.45","83,641"
"22-Sep-2023","EQ","99.50","101.40","98.70","99.15","99.80","99.90","99.76","105.00","44.35","3,94,92,725","3,93,98,74,443.25","89,218"
"21-Sep-2023","EQ","100.00","100.95","98.25","100.00","99.80","99.15","99.50","105.00","44.35","4,05,91,612","4,03,89,89,509.65","1,11,529"
"20-Sep-2023","EQ","101.30","104.90","99.30","102.15","100.15","100.00","100.97","105.00","44.35","10,41,15,507","10,51,28,27,408.25","1,68,842"
"18-Sep-2023","EQ","103.60","105.00","101.65","102.95","102.05","102.15","103.67","105.00","44.35","6,94,76,642","7,20,29,19,192.90","1,36,780"
"15-Sep-2023","EQ","100.50","104.45","100.35","99.45","103.00","102.95","102.68","104.45","44.35","14,88,53,172","15,28,41,16,660.50","2,40,398"
"14-Sep-2023","EQ","98.65","100.10","98.20","97.90","99.50","99.45","99.27","102.85","44.35","4,52,26,055","4,48,98,08,370.35","92,080"
"13-Sep-2023","EQ","98.75","100.75","97.00","98.75","97.95","97.90","98.58","102.85","44.35","7,16,61,116","7,06,43,74,863.65","1,25,359"
"12-Sep-2023","EQ","102.40","102.50","96.50","101.35","98.75","98.75","99.34","102.85","44.35","9,09,11,794","9,03,09,86,960.85","1,96,958"
"11-Sep-2023","EQ","100.00","102.55","99.20","99.60","101.40","101.35","101.18","102.85","44.35","8,38,50,675","8,48,39,91,894.70","1,62,921"
"08-Sep-2023","EQ","100.75","101.10","99.00","100.05","99.25","99.60","99.87","102.85","44.35","6,34,82,366","6,33,99,53,319.70","1,30,168"
"07-Sep-2023","EQ","98.65","101.60","98.20","98.20","99.90","100.05","100.23","102.85","44.35","11,12,22,776","11,14,73,73,589.80","2,27,593"
"06-Sep-2023","EQ","98.40","98.85","97.65","98.20","98.00","98.20","98.22","102.85","44.35","2,83,29,667","2,78,24,29,349.50","92,660"
"05-Sep-2023","EQ","98.15","99.30","97.05","98.05","98.30","98.20","98.17","102.85","44.35","5,11,33,944","5,01,98,88,595.05","1,02,063"
"04-Sep-2023","EQ","97.50","98.60","97.30","97.20","98.05","98.05","98.03","102.85","44.35","3,74,47,917","3,67,10,48,504.50","1,00,072"
"01-Sep-2023","EQ","98.30","98.35","96.85","97.60","97.20","97.20","97.34","102.85","44.35","4,75,61,928","4,62,97,63,368.00","1,73,305"
"31-Aug-2023","EQ","100.05","100.80","96.70","99.80","98.60","97.60","99.13","102.85","44.35","11,30,63,640","11,20,85,15,441.05","2,15,488"
"30-Aug-2023","EQ","99.50","100.50","97.20","94.70","99.70","99.80","99.07","102.85","44.35","25,01,11,714","24,77,96,74,439.50","4,42,887"
"29-Aug-2023","EQ","92.75","95.00","92.60","92.35","94.60","94.70","94.14","102.85","44.35","8,67,08,316","8,16,30,85,797.95","1,86,335"
"28-Aug-2023","EQ","96.00","96.10","91.75","91.00","92.35","92.35","92.93","102.85","44.35","14,11,18,441","13,11,38,59,418.30","4,14,969"
"25-Aug-2023","EQ","93.35","93.35","90.05","93.80","92.05","91.00","91.19","102.85","44.35","6,50,76,321","5,93,42,57,006.65","1,52,123"
"24-Aug-2023","EQ","95.75","95.75","93.20","94.30","93.65","93.80","94.11","102.85","44.35","4,75,97,101","4,47,94,79,669.05","1,02,141"
"23-Aug-2023","EQ","92.95","95.00","92.05","91.90","94.85","94.30","93.38","102.85","44.35","6,47,68,237","6,04,80,92,845.15","1,60,760"
"22-Aug-2023","EQ","90.30","94.30","90.10","89.75","92.00","91.90","92.94","102.85","44.35","10,44,09,241","9,70,42,38,035.20","1,94,450"
"21-Aug-2023","EQ","90.50","90.50","88.30","89.35","89.90","89.75","89.20","102.85","44.35","3,67,55,760","3,27,87,32,702.60","1,10,507"
"18-Aug-2023","EQ","91.00","91.40","89.00","91.15","89.25","89.35","90.09","102.85","44.35","5,05,13,070","4,55,06,99,048.95","1,21,897"
"17-Aug-2023","EQ","92.30","93.25","90.50","91.90","90.65","91.15","91.91","102.85","44.35","4,56,57,095","4,19,64,05,965.45","1,11,329"
"16-Aug-2023","EQ","92.45","95.60","91.50","92.75","92.00","91.90","93.18","102.85","44.35","7,63,33,138","7,11,24,43,420.15","1,62,539"
"14-Aug-2023","EQ","93.40","93.40","91.35","93.45","92.90","92.75","92.63","102.85","44.35","4,66,68,447","4,32,28,78,882.25","1,04,314"
"11-Aug-2023","EQ","94.60","95.20","93.05","94.25","93.35","93.45","93.71","102.85","44.35","3,81,56,809","3,57,55,67,975.10","1,30,028"
"10-Aug-2023","EQ","94.10","96.15","93.25","94.10","93.95","94.25","94.83","102.85","44.35","8,75,98,556","8,30,70,80,346.35","2,91,931"
"09-Aug-2023","EQ","93.90","94.85","91.60","93.45","94.00","94.10","93.27","102.85","44.35","10,92,40,947","10,18,91,71,159.25","2,23,105"
"08-Aug-2023","EQ","98.35","100.30","92.70","97.60","93.35","93.45","95.25","102.85","44.35","16,02,36,123","15,26,26,97,251.80","3,43,065"
"07-Aug-2023","EQ","97.40","102.85","96.35","95.40","97.00","97.60","99.88","102.85","44.35","24,93,31,637","24,90,39,85,817.45","5,38,938"
"04-Aug-2023","EQ","89.00","98.40","88.40","86.55","95.35","95.40","95.03","98.40","44.35","40,57,51,648","38,55,75,61,185.90","6,34,239"
"03-Aug-2023","EQ","81.60","88.40","81.60","85.05","86.45","86.55","85.16","88.40","44.35","12,34,80,816","10,51,61,60,596.30","1,66,589"
"02-Aug-2023","EQ","84.45","85.95","82.65","84.75","85.60","85.05","84.83","87.25","44.35","5,48,44,625","4,65,25,28,688.90","1,34,328"
"01-Aug-2023","EQ","84.60","85.70","84.20","84.10","84.70","84.75","84.97","87.25","44.35","3,49,50,470","2,96,98,18,117.90","88,583"
"31-Jul-2023","EQ","87.00","87.15","83.70","86.80","84.15","84.10","84.91","87.25","44.35","4,90,93,355","4,16,86,11,709.25","1,39,817"
"28-Jul-2023","EQ","85.60","87.25","83.85","84.95","86.75","86.80","85.91","87.25","40.60","7,47,98,625","6,42,55,85,069.25","1,85,459"
"27-Jul-2023","EQ","83.35","86.10","82.80","83.35","84.95","84.95","84.43","86.10","40.60","7,72,49,384","6,52,21,50,778.00","1,29,481"
"26-Jul-2023","EQ","83.10","84.60","82.50","82.65","83.45","83.35","83.52","85.25","40.60","5,92,91,226","4,95,20,81,945.70","1,05,767"
"25-Jul-2023","EQ","81.30","83.20","79.30","81.30","82.85","82.65","81.56","85.25","40.60","7,24,59,586","5,90,99,93,422.70","1,56,783"
"24-Jul-2023","EQ","80.80","82.45","80.55","80.30","81.25","81.30","81.63","85.25","40.60","6,42,91,285","5,24,78,03,323.50","1,32,079"
"21-Jul-2023","EQ","77.85","80.70","77.40","77.60","80.35","80.30","79.68","85.25","40.60","7,49,91,213","5,97,53,50,038.90","1,50,232"
"20-Jul-2023","EQ","78.05","79.10","77.30","77.65","77.70","77.60","78.12","85.25","40.60","4,04,95,235","3,16,33,02,498.90","92,832"
"19-Jul-2023","EQ","79.00","80.35","77.25","78.70","77.80","77.65","78.39","85.25","40.60","4,21,30,927","3,30,25,21,069.70","1,13,098"
"18-Jul-2023","EQ","80.65","80.65","76.50","80.15","78.60","78.70","78.31","85.25","40.60","7,12,15,775","5,57,70,25,898.30","1,54,232"
"17-Jul-2023","EQ","83.20","83.40","79.50","82.55","79.85","80.15","81.13","85.25","40.60","4,33,77,345","3,51,90,80,282.50","1,29,783"
"14-Jul-2023","EQ","84.00","85.25","81.65","82.20","82.55","82.55","82.83","85.25","40.60","9,15,71,303","7,58,45,74,480.95","1,77,698"
"13-Jul-2023","EQ","77.85","84.50","77.65","77.50","82.85","82.20","81.77","84.50","40.60","19,26,05,002","15,74,93,61,211.55","4,07,312"
"12-Jul-2023","EQ","77.50","78.80","77.15","76.80","77.50","77.50","77.94","80.30","40.60","6,42,12,629","5,00,47,81,527.20","1,24,041"
"11-Jul-2023","EQ","75.05","77.00","74.90","74.80","76.85","76.80","76.34","80.30","40.60","4,29,46,892","3,27,85,31,696.65","1,07,879"
"10-Jul-2023","EQ","73.45","75.55","73.40","73.25","74.30","74.80","74.69","80.30","40.60","3,38,12,208","2,52,52,96,251.90","80,278"
"07-Jul-2023","EQ","74.80","74.90","73.00","74.75","73.40","73.25","73.55","80.30","40.60","2,65,99,778","1,95,65,25,955.60","68,547"
"06-Jul-2023","EQ","74.45","75.25","74.30","74.05","74.70","74.75","74.81","80.30","40.60","2,44,67,816","1,83,04,43,981.40","65,262"
"05-Jul-2023","EQ","74.85","75.10","73.70","74.80","74.00","74.05","74.33","80.30","40.60","2,54,59,694","1,89,24,42,432.40","50,268"
"04-Jul-2023","EQ","75.80","76.20","74.50","75.65","74.75","74.80","75.25","80.30","40.60","2,41,50,257","1,81,72,09,632.00","52,380"
"03-Jul-2023","EQ","75.45","77.25","74.55","75.05","75.40","75.65","76.07","80.30","40.60","4,92,43,205","3,74,56,97,539.05","92,187"
"30-Jun-2023","EQ","75.00","75.45","74.00","74.90","74.90","75.05","74.93","80.30","40.60","4,92,45,376","3,68,98,99,760.45","78,369"
"28-Jun-2023","EQ","77.00","77.00","74.60","76.15","74.95","74.90","75.46","80.30","40.60","3,05,74,521","2,30,71,08,101.20","81,378"
"27-Jun-2023","EQ","75.15","76.95","74.85","74.85","76.35","76.15","76.16","80.30","40.60","5,90,78,137","4,49,92,12,379.55","98,223"
"26-Jun-2023","EQ","74.15","75.25","73.80","74.15","75.05","74.85","74.82","80.30","40.60","3,04,11,621","2,27,53,68,480.55","58,973"
"23-Jun-2023","EQ","73.90","75.30","72.55","74.35","73.90","74.15","74.20","80.30","40.60","5,17,75,728","3,84,19,28,728.90","75,298"
"22-Jun-2023","EQ","75.50","75.85","73.65","75.10","74.85","74.35","74.55","80.30","40.60","4,04,19,764","3,01,34,37,897.30","70,485"
"21-Jun-2023","EQ","76.10","77.35","74.65","75.85","75.05","75.10","75.76","80.30","40.60","3,18,96,510","2,41,64,62,568.60","66,370"
"20-Jun-2023","EQ","76.00","76.40","74.80","75.85","76.05","75.85","75.52","80.30","40.60","3,05,91,595","2,31,03,67,549.65","83,373"
"19-Jun-2023","EQ","74.60","77.00","74.10","74.45","75.75","75.85","76.12","80.30","40.60","6,27,44,981","4,77,62,94,409.20","1,20,711"
"16-Jun-2023","EQ","75.55","76.00","73.90","75.10","74.20","74.45","74.95","80.30","40.60","4,57,83,616","3,43,13,40,714.90","98,654"
"15-Jun-2023","EQ","74.50","76.10","73.10","74.10","74.95","75.10","75.05","80.30","40.60","9,33,21,136","7,00,40,19,853.20","1,62,292"
"14-Jun-2023","EQ","78.30","78.45","73.25","78.30","74.10","74.10","75.51","80.30","40.60","8,31,86,945","6,28,11,25,245.65","1,78,924"
"13-Jun-2023","EQ","77.90","78.80","76.70","77.95","78.60","78.30","78.07","80.30","40.60","8,18,57,154","6,39,09,76,697.45","1,57,920"
"12-Jun-2023","EQ","78.30","80.30","76.50","77.60","77.15","77.95","78.97","80.30","40.60","10,53,88,190","8,32,23,22,966.25","2,36,130"
"09-Jun-2023","EQ","77.05","78.00","75.85","75.80","77.90","77.60","77.03","78.00","40.60","7,72,76,802","5,95,24,70,982.45","1,47,650"
"08-Jun-2023","EQ","74.80","76.35","73.70","74.50","75.65","75.80","75.15","76.35","40.60","8,80,06,842","6,61,38,26,879.30","1,51,150"
"07-Jun-2023","EQ","72.50","75.00","72.40","72.35","74.90","74.50","73.85","75.45","40.60","6,78,71,844","5,01,23,54,679.05","1,26,333"
"06-Jun-2023","EQ","71.55","73.15","71.35","71.25","72.40","72.35","72.25","75.45","40.60","6,47,62,959","4,67,89,26,998.55","1,13,413"
"05-Jun-2023","EQ","71.30","72.15","69.60","71.15","71.40","71.25","71.01","75.45","40.60","8,40,75,166","5,96,98,30,370.35","1,39,931"
"02-Jun-2023","EQ","70.00","73.20","69.50","67.95","71.15","71.15","71.41","79.80","40.60","17,07,69,117","12,19,50,30,700.90","3,41,587"
"01-Jun-2023","EQ","68.70","68.80","67.60","69.05","67.70","67.95","68.20","79.80","40.60","5,78,46,081","3,94,48,98,655.05","1,08,824"
"31-May-2023","EQ","67.30","70.00","66.30","66.85","68.70","69.05","68.73","79.80","40.60","25,18,13,391","17,30,79,98,922.45","1,59,745"
"30-May-2023","EQ","67.50","68.30","66.45","67.10","66.70","66.85","67.50","79.80","40.60","6,06,99,589","4,09,70,16,020.70","93,059"
"29-May-2023","EQ","67.80","68.40","66.60","67.25","66.95","67.10","67.55","79.80","40.60","5,69,68,141","3,84,83,55,737.00","1,19,364"
"26-May-2023","EQ","67.30","68.25","65.75","67.30","66.95","67.25","66.96","79.80","40.60","8,64,66,135","5,79,00,71,623.85","1,38,772"
